Content_type,Router1_type_req,Router2_type_req,Router3_type_req,Router4_type_req,Router5_type_req,Router6_type_req,Router1_total_req,Router2_total_req,Router3_total_req,Router4_total_req,Router5_total_req,Router6_total_req,Request_at_allnode,Popularity
1526,64,31,438,84,480,166,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1527,1944,1738,1289,1800,2004,899,5448787,4304350,4227702,4005980,7914636,1689532,27590987,8
1528,34,16,247,35,2160,42,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1529,7,3,48,5,505,3,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1530,1850,1636,1130,1538,1402,514,5448787,4304350,4227702,4005980,7914636,1689532,27590987,6
1531,1245,1010,255,373,396,3,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1532,109,57,702,181,1626,640,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
1533,27,12,198,25,1775,26,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1534,142,77,889,270,23,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1535,399,258,206,1314,891,292,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
1536,130,70,824,237,2201,1061,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
1537,173,97,1056,363,354,2,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1538,620,435,678,6,635,4,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1539,1564,1334,677,878,44,67,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
1540,1459,1226,526,685,1780,27,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
1541,914,695,2,91,567,189,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1542,638,451,722,8,794,6,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1543,1161,928,166,280,48,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1544,1633,1406,781,1019,271,116,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
1545,1465,1232,534,695,1823,28,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
1546,1167,934,172,286,65,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1547,122,64,774,213,1965,869,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
1548,1994,1793,1376,1948,2343,1190,5448787,4304350,4227702,4005980,7914636,1689532,27590987,10
1549,149,82,928,291,80,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1550,297,181,48,829,1,54,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1551,193,110,1163,429,640,4,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1552,1124,893,132,244,2268,1121,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
1553,1968,1765,1332,1872,2170,1034,5448787,4304350,4227702,4005980,7914636,1689532,27590987,9
1554,1186,953,192,307,134,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1555,384,246,178,1235,717,233,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1556,839,627,1220,57,138,87,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1557,447,294,297,1567,1468,549,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
1558,27,13,201,26,1800,27,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1559,76,38,512,108,780,254,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1560,1499,1266,582,755,2079,38,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
1561,523,356,458,1,16,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1562,1738,1517,946,1255,762,248,5448787,4304350,4227702,4005980,7914636,1689532,27590987,4
1563,1619,1391,760,989,217,104,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
1564,183,103,1110,396,493,3,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1565,807,598,1139,45,21,61,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1566,1905,1696,1223,1688,1749,717,5448787,4304350,4227702,4005980,7914636,1689532,27590987,7
1567,608,426,652,5,542,4,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1568,1390,1155,432,572,1281,13,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
1569,10,5,74,7,740,5,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1570,82,41,548,120,934,308,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1571,1904,1696,1222,1687,1746,715,5448787,4304350,4227702,4005980,7914636,1689532,27590987,7
1572,1183,950,188,303,121,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1573,1521,1289,614,796,2251,46,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
1574,5,2,32,3,350,2,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1575,554,381,527,2,159,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1576,298,182,49,832,2,55,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1577,1883,1672,1185,1627,1608,629,5448787,4304350,4227702,4005980,7914636,1689532,27590987,6
1578,85,43,565,126,1008,335,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1579,116,61,745,200,1828,770,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
1580,729,529,942,23,1664,23,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
1581,1614,1386,752,978,197,100,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
1582,620,436,679,6,640,4,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1583,20,9,148,17,1375,15,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1584,1219,985,226,343,271,2,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1585,1201,967,207,323,192,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1586,1017,791,48,155,1343,484,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
1587,9,4,68,7,685,5,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1588,1568,1338,683,886,55,69,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
1589,15,7,113,12,1082,10,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1590,1980,1777,1351,1905,2245,1100,5448787,4304350,4227702,4005980,7914636,1689532,27590987,9
1591,159,88,979,319,177,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1592,516,350,443,1966,2383,1228,5448787,4304350,4227702,4005980,7914636,1689532,27590987,5
1593,959,737,17,116,887,291,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1594,1133,901,139,252,2347,1194,5448787,4304350,4227702,4005980,7914636,1689532,27590987,4
1595,1789,1571,1028,1379,1039,348,5448787,4304350,4227702,4005980,7914636,1689532,27590987,5
1596,966,743,19,120,936,308,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1597,1668,1443,836,1095,420,151,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
1598,68,34,464,92,581,193,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1599,1340,1105,368,498,949,8,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
1600,174,97,1058,364,358,2,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1601,481,322,367,1759,1912,830,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
1602,1665,1439,830,1088,405,147,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
1603,1003,778,39,145,1225,428,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
1604,335,209,99,999,234,108,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1605,66,33,451,88,532,180,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1606,1635,1408,784,1023,278,118,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
1607,99,51,648,159,1381,503,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1608,618,434,674,6,619,4,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1609,293,179,44,814,2329,51,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1610,151,83,939,297,99,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1611,1312,1077,334,460,776,6,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
1612,123,65,784,218,2013,906,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
1613,883,667,1335,76,375,140,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
1614,240,141,1,598,1394,16,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1615,562,387,544,2,205,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1616,427,279,258,1458,1218,425,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
1617,752,550,1001,29,1912,31,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
1618,905,687,1,86,509,174,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1619,3,2,18,2,200,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1620,1352,1117,384,516,1030,9,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
1621,300,184,52,844,10,58,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1622,604,422,640,5,503,3,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1623,1883,1672,1185,1628,1609,630,5448787,4304350,4227702,4005980,7914636,1689532,27590987,6
1624,1127,895,134,246,2289,1139,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
1625,1270,1035,283,404,529,3,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1626,1164,931,169,283,56,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1627,427,279,259,1461,1226,428,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
1628,347,218,117,1056,341,132,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1629,132,71,831,241,2234,1090,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
1630,1000,775,38,143,1205,418,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
1631,103,53,667,167,1469,550,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1632,889,672,1350,79,410,148,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
1633,347,218,118,1058,346,133,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1634,166,92,1019,341,263,2,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1635,251,149,6,638,1572,20,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1636,196,112,1175,438,676,5,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1637,962,740,18,118,909,298,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1638,1825,1609,1088,1472,1250,439,5448787,4304350,4227702,4005980,7914636,1689532,27590987,5
1639,1223,989,230,348,288,2,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1640,1634,1407,783,1021,276,117,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
1641,3,2,18,2,199,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1642,1900,1691,1215,1676,1720,699,5448787,4304350,4227702,4005980,7914636,1689532,27590987,7
1643,10,4,71,7,719,5,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1644,352,222,126,1081,391,144,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1645,63,31,430,82,449,158,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1646,1278,1044,293,415,577,4,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1647,2,1,7,1,83,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1648,741,540,972,26,1789,27,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
1649,1703,1480,891,1174,585,194,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
1650,31,14,225,31,1990,34,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1651,611,428,657,5,559,4,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1652,16,7,116,12,1112,10,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1653,636,449,716,8,772,6,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1654,310,191,64,885,53,69,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1655,480,321,366,1754,1900,822,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
1656,321,199,80,938,129,85,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1657,350,220,122,1071,371,139,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1658,642,454,730,8,823,6,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1659,1775,1556,1007,1346,965,319,5448787,4304350,4227702,4005980,7914636,1689532,27590987,4
1660,991,767,32,137,1134,387,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
1661,711,514,899,19,1488,18,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1662,1,1,7,1,79,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1663,173,97,1058,364,357,2,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1664,316,195,72,913,91,77,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1665,1125,894,132,245,2276,1127,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
1666,656,466,765,10,956,8,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1667,631,445,705,7,730,5,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1668,157,87,972,314,160,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1669,35,16,250,36,2179,43,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1670,61,30,422,79,418,150,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1671,266,160,17,701,1847,29,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1672,1317,1082,340,467,808,6,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
1673,154,85,955,305,127,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1674,84,42,558,124,977,323,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1675,360,228,138,1116,464,162,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1676,855,642,1263,63,219,104,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1677,578,400,580,3,310,2,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1678,15,7,116,12,1108,10,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1679,458,304,320,1630,1615,633,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
1680,303,186,55,855,19,61,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1681,26,12,189,24,1711,24,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1682,503,339,415,1889,2208,1067,5448787,4304350,4227702,4005980,7914636,1689532,27590987,4
1683,43,20,306,48,48,68,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1684,105,54,680,172,1526,581,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1685,401,259,209,1321,907,298,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
1686,265,159,16,694,1817,28,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1687,1976,1774,1345,1895,2223,1080,5448787,4304350,4227702,4005980,7914636,1689532,27590987,9
1688,1599,1370,728,946,143,88,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
1689,260,155,12,676,1737,25,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1690,402,260,212,1328,925,304,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
1691,1296,1061,314,438,679,5,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
1692,1931,1724,1267,1763,1919,835,5448787,4304350,4227702,4005980,7914636,1689532,27590987,8
1693,196,111,1174,437,672,5,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1694,681,488,826,14,1191,12,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1695,626,440,692,7,685,5,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1696,49,24,346,58,156,91,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1697,530,361,472,1,38,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1698,516,350,443,1967,2385,1230,5448787,4304350,4227702,4005980,7914636,1689532,27590987,5
1699,1078,849,92,203,1855,789,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
1700,19,9,142,16,1325,14,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1701,106,55,684,174,1546,592,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1702,70,34,471,94,611,202,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1703,313,193,68,898,70,73,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1704,296,181,47,826,2379,53,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1705,153,84,946,301,112,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1706,64,31,435,83,468,163,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1707,1476,1242,549,714,1902,31,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
1708,133,71,837,244,2266,1118,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
1709,1603,1374,735,955,158,91,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
1710,1263,1028,275,396,493,3,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1711,1862,1650,1150,1571,1478,554,5448787,4304350,4227702,4005980,7914636,1689532,27590987,6
1712,138,75,867,259,3,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1713,175,98,1066,369,377,2,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1714,621,437,681,6,646,4,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1715,1047,819,68,178,1590,618,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
1716,548,375,512,1,122,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1717,490,329,386,1811,2030,919,5448787,4304350,4227702,4005980,7914636,1689532,27590987,4
1718,263,157,14,687,1785,27,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1719,1482,1249,558,725,1953,33,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
1720,356,225,132,1098,427,153,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1721,3,1,16,2,183,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1722,1682,1458,858,1126,485,167,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
1723,1844,1630,1120,1523,1369,497,5448787,4304350,4227702,4005980,7914636,1689532,27590987,6
1724,663,472,781,11,1018,9,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1725,1992,1791,1373,1943,2332,1179,5448787,4304350,4227702,4005980,7914636,1689532,27590987,10
1726,337,211,102,1008,251,111,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1727,707,510,888,18,1442,17,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1728,1311,1076,332,458,769,6,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
1729,349,220,121,1067,364,137,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1730,7,3,51,5,531,3,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1731,611,428,659,5,567,4,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1732,42,20,296,46,27,63,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1733,677,484,815,13,1148,11,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1734,1881,1670,1182,1623,1598,623,5448787,4304350,4227702,4005980,7914636,1689532,27590987,6
1735,943,722,10,107,769,250,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1736,97,50,634,153,1316,471,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1737,652,463,755,10,919,7,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1738,1390,1155,432,572,1281,13,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
1739,185,105,1121,403,522,3,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1740,202,115,1205,457,764,6,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1741,1915,1707,1239,1717,1813,760,5448787,4304350,4227702,4005980,7914636,1689532,27590987,7
1742,1942,1736,1285,1793,1990,888,5448787,4304350,4227702,4005980,7914636,1689532,27590987,8
1743,698,502,865,17,1350,15,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1744,236,139,1384,584,1331,14,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1745,561,386,541,2,198,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1746,19,9,141,16,1320,14,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1747,1315,1080,338,464,796,6,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
1748,944,723,11,107,775,252,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1749,723,524,929,22,1611,21,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
1750,94,48,619,147,1247,438,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1751,91,46,600,140,1164,400,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1752,63,31,432,82,455,160,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1753,171,95,1045,357,327,2,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1754,89,45,586,134,1100,373,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1755,1269,1034,282,403,525,3,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1756,1528,1296,624,808,2304,49,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
1757,1257,1022,268,388,460,3,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1758,22,10,165,20,1514,19,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1759,60,29,415,77,392,144,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1760,135,72,846,248,2309,1158,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
1761,1172,939,177,291,82,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1762,551,378,520,2,142,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1763,323,200,82,944,139,88,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1764,1515,1283,605,784,2201,44,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
1765,236,139,1383,583,1327,14,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1766,728,528,941,23,1658,23,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
1767,1229,995,237,355,318,2,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1768,1949,1744,1297,1814,2036,924,5448787,4304350,4227702,4005980,7914636,1689532,27590987,8
1769,1825,1609,1088,1472,1251,440,5448787,4304350,4227702,4005980,7914636,1689532,27590987,5
1770,1364,1129,399,534,1107,10,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
1771,1219,985,226,343,272,2,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1772,957,735,16,115,870,284,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1773,1427,1193,482,631,1543,19,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
1774,804,596,1132,44,13,59,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1775,1193,959,198,314,158,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1776,331,206,93,979,199,100,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1777,701,505,874,17,1386,16,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1778,369,235,153,1162,560,187,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1779,1296,1061,314,438,679,5,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
1780,473,315,351,1714,1808,756,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
1781,969,746,21,122,958,316,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1782,1334,1099,361,491,914,7,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
1783,623,439,687,6,666,5,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1784,188,106,1133,410,555,4,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1785,705,509,884,18,1426,17,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1786,467,310,337,1677,1722,700,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
1787,1621,1394,763,994,225,106,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
1788,385,247,180,1240,729,237,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1789,148,81,920,287,67,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1790,447,295,298,1569,1474,552,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
1791,1,1,1,1,1,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1792,881,665,1329,75,361,137,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
1793,23,10,168,20,1541,19,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1794,649,460,747,9,887,7,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1795,937,716,8,103,725,236,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1796,906,688,1,87,518,176,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1797,1124,892,131,243,2262,1114,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
1798,867,652,1291,68,278,117,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1799,1930,1724,1266,1761,1915,832,5448787,4304350,4227702,4005980,7914636,1689532,27590987,8
1800,170,95,1039,353,310,2,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1801,1237,1003,246,364,357,2,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1802,1,1,3,1,28,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1803,21,9,154,18,1422,16,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1804,11,5,83,8,825,6,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1805,1723,1500,921,1219,682,223,5448787,4304350,4227702,4005980,7914636,1689532,27590987,4
1806,104,54,672,168,1489,560,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1807,1233,998,241,359,335,2,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1808,141,77,884,268,17,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1809,178,100,1081,378,417,3,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1810,1103,872,112,224,2074,954,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
1811,189,107,1140,415,574,4,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1812,464,308,333,1665,1694,682,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
1813,1662,1436,826,1081,391,144,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
1814,1709,1486,900,1187,614,203,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
1815,1597,1368,726,944,139,88,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
1816,138,75,867,259,2,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1817,1145,913,151,264,10,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1818,950,728,13,111,819,267,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1819,455,301,313,1611,1571,607,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
1820,466,309,336,1673,1712,693,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
1821,98,51,642,156,1351,488,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1822,529,361,472,1,37,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
1823,1618,1390,758,987,214,103,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
1824,1404,1170,451,595,1381,16,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
